1583048575000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95768333333333  115.5 0 0
1583048595000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916 37.95768666666667  115.5 0 0
1583048625000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95768666666667  115.5 0 0
1583048745000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.957685  115.5 0 0
1583048764000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60914 37.957678333333334  115.5 0 0
1583048795000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95768333333333  115.5 0 0
1583048824000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609148333333334 37.95769166666666  115.5 0 0
1583048855000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609148333333334 37.95769833333333  115.5 0.1 0
1583048864000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.95769833333333  115.5 0.1 0
1583048924000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.95769666666667  115.5 0 0
1583048964000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.95771  115.5 0 0
1583048984000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609163333333335 37.95771166666667  115.5 0 0
1583048995000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95771166666667  115.5 0.1 0
1583049044000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95769166666666  115.5 0 0
1583049055000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95768833333333  115.5 0 0
1583049084000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957679999999996  115.5 0.1 0
1583049105000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916 37.957679999999996  115.5 0.1 0
1583049175000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957703333333335  115.5 0 0
1583049195000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95769833333333  115.5 0 0
1583049274000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95769833333333  115.5 0 0
1583049305000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.95769833333333  115.5 0 0
